Iteration,True_Azimuth,True_Elevation,Ambisonics_Azimuth,Ambisonics_Elevation,Ambisonics_Azi_Error,Ambisonics_Ele_Error,Ambisonics_Time_s,SRP_PHAT_Azimuth,SRP_PHAT_Elevation,SRP_PHAT_Azi_Error,SRP_PHAT_Ele_Error,SRP_PHAT_Time_s
1,352,-89,-83.91,-86.99,-75.91,2.01,0.0429,0,-90,8,1,0.2058
2,340,-76,-91.75,-51.55,-71.75,24.45,0.0396,335,-75,5,1,0.2199
3,164,54,-87.87,-23.15,108.13,77.15,0.0243,160,55,4,1,0.2257
4,85,-31,-152.65,-24.46,122.35,6.54,0.0415,85,-30,0,1,0.2015
5,140,37,-86.61,12.88,133.39,24.12,0.0179,140,35,0,2,0.1999
6,2,-90,45.0,-89.35,43.0,0.65,0.0421,0,-90,2,0,0.2043
7,153,-74,87.39,-47.03,65.61,26.97,0.0327,135,-75,18,1,0.2055
8,70,34,101.17,57.94,31.17,23.94,0.0206,70,35,0,1,0.2104
9,131,-86,85.47,-80.16,45.53,5.84,0.0443,110,-85,21,1,0.2334
10,296,24,105.33,77.51,169.33,53.51,0.0361,300,25,4,1,0.1995
11,286,39,87.29,60.29,161.29,21.29,0.0405,285,40,1,1,0.2067
12,41,10,121.91,80.53,80.91,70.53,0.0503,40,10,1,0,0.2136
13,341,74,90.97,-47.74,109.97,121.74,0.0221,350,75,9,1,0.2131
14,238,53,-85.15,14.86,36.85,38.14,0.0496,235,50,3,3,0.201
15,21,83,90.84,-68.5,69.84,151.5,0.0334,0,85,21,2,0.2202
16,142,68,-88.84,-36.07,129.16,104.07,0.0223,140,65,2,3,0.2436
17,14,-21,-99.84,-15.42,113.84,5.58,0.0285,15,-20,1,1,0.2256
18,301,36,92.15,46.95,151.15,10.95,0.0366,300,35,1,1,0.2211
19,245,-68,86.57,-31.74,158.43,36.26,0.0367,250,-65,5,3,0.2106
20,270,-89,40.68,-89.38,130.68,0.38,0.0374,0,-90,90,1,0.2123
21,360,31,95.01,-16.82,95.01,47.82,0.0428,0,30,0,1,0.2461
22,323,-45,-92.67,-2.25,-55.67,42.75,0.057,325,-45,2,0,0.2011
23,309,-74,-91.18,-50.69,-40.18,23.31,0.0361,300,-70,9,4,0.2078
24,88,55,142.89,83.89,54.89,28.89,0.0421,90,55,2,0,0.1981
25,302,17,145.2,85.9,156.8,68.9,0.0377,295,10,7,7,0.2098
26,353,75,91.16,-49.44,98.16,124.44,0.0486,350,75,3,0,0.2171
27,218,32,-84.31,18.08,57.69,13.92,0.0497,220,30,2,2,0.203
28,120,87,-84.45,-85.27,155.55,172.27,0.0195,80,85,40,2,0.2118
29,130,-9,19.68,87.82,110.32,96.82,0.0449,130,-10,0,1,0.2092
30,10,-25,-97.93,-19.0,107.93,6.0,0.0467,10,-25,0,0,0.1982
31,352,29,95.37,-16.35,103.37,45.35,0.0291,350,35,2,6,0.204
32,198,-69,87.23,-39.73,110.77,29.27,0.0472,195,-70,3,1,0.2001
33,314,-43,-92.42,13.83,-46.42,56.83,0.0193,305,-35,9,8,0.2108
34,56,-46,-94.64,26.31,150.64,72.31,0.0238,60,-45,4,1,0.204
35,225,1,-38.08,84.53,96.92,83.53,0.0703,225,0,0,1,0.216
36,175,47,-87.24,-19.67,97.76,66.67,0.0505,175,45,0,2,0.2212
37,192,-30,83.84,-16.35,108.16,13.65,0.0216,190,-35,2,5,0.1884
38,309,-85,-89.65,-79.19,-38.65,5.81,0.0334,275,-80,34,5,0.2038
39,110,71,-91.22,-50.28,158.78,121.28,0.0225,105,65,5,6,0.2223
40,167,10,-78.18,-12.69,114.82,22.69,0.0374,165,10,2,0,0.2173
41,51,-28,-103.04,62.51,154.04,90.51,0.0321,55,-25,4,3,0.2084
42,104,65,-93.29,-11.89,162.71,76.89,0.0547,105,65,1,0,0.2019
43,86,-55,-103.71,76.97,170.29,131.97,0.0193,90,-55,4,0,0.2092
44,229,-39,83.61,28.41,145.39,67.41,0.0329,220,-45,9,6,0.2206
45,83,16,-155.06,-86.77,121.94,102.77,0.0529,85,20,2,4,0.2246
46,268,-39,34.65,82.96,126.65,121.96,0.0446,270,-45,2,6,0.2027
47,139,-39,86.29,11.96,52.71,50.96,0.0441,135,-35,4,4,0.204
48,322,-3,-172.99,85.95,-134.99,88.95,0.0234,320,0,2,3,0.206
49,242,74,-85.39,-56.15,32.61,130.15,0.0218,245,70,3,4,0.2188
50,132,-60,88.03,-11.91,43.97,48.09,0.023,130,-65,2,5,0.2182
